Scenario,Rank,Wallet,Success_Probability
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.623500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",5,(1 AND 2) OR (3 AND 4),0.621500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",6,(1 AND 2) OR (1 AND 3 AND 4),0.606500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.590000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.590000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",9,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.588000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",10,(1 AND 2) OR (1 AND 3),0.585000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",11,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.560500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",12,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.559500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",13,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.551500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",14,(1 AND 2),0.550000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",15,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.549500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",16,(1) OR (2 AND 3 AND 4),0.516500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",17,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.510000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",18,(1),0.500000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",19,(1 AND 2 AND 3),0.485000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",20,(1) OR (2 AND 3),0.475000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.3000,STOLEN=0.1000",21,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.465500
